,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
0,1164,Ron,Garretson,10  ,0021600676
1,1830,Marc,Davis,8   ,0021600676
2,204058,Gediminas,Petraitis,50  ,0021600676
0,1188,Leroy,Richardson,20  ,0021700813
1,1662,Bill,Kennedy,55  ,0021700813
2,202041,Kevin,Scott,28  ,0021700813
0,2534,Zach,Zarba,15  ,0021701215
1,101283,Brian,Forte,45  ,0021701215
2,204059,Tyler,Ford,39  ,0021701215
0,1830,Marc,Davis,8   ,0021800409
1,2005,Matt,Boland,18  ,0021800409
2,202026,Karl,Lane,77  ,0021800409
0,1146,Tony,Brothers,25  ,0021801211
1,202053,Scott,Twardoski,52  ,0021801211
2,203591,Mitchell,Ervin,27  ,0021801211
0,1151,Sean,Corbin,33  ,0021600130
1,201640,Kane,Fitzgerald,5   ,0021600130
2,201246,Kevin,Cutler,34  ,0021600130
0,1199,Tom,Washington,49  ,0021600440
1,1363,Bennie,Adams,47  ,0021600440
2,202007,Nick,Buchert,3   ,0021600440
0,1148,James,Capers,19  ,0021700281
1,202026,Karl,Lane,77  ,0021700281
2,203591,Mitchell,Ervin,27  ,0021700281
0,1148,James,Capers,19  ,0021700442
1,201246,Kevin,Cutler,34  ,0021700442
2,1626303,Vladimir,Voyard-Tadal,76  ,0021700442
0,2001,Jason,Phillips,23  ,0021800127
1,201637,Haywoode,Workman,66  ,0021800127
2,202058,James,Williams,60  ,0021800127
0,1199,Tom,Washington,49  ,0021801183
1,200832,Curtis,Blair,74  ,0021801183
2,1626302,Aaron,Smith,51  ,0021801183
0,1201,Leon,Wood,40  ,0021600148
1,101284,John,Goble,30  ,0021600148
2,201245,Marat,Kogut,32  ,0021600148
0,1662,Bill,Kennedy,55  ,0021701047
1,204058,Gediminas,Petraitis,50  ,0021701047
2,204059,Tyler,Ford,39  ,0021701047
0,2001,Jason,Phillips,23  ,0021800298
1,2148,Mark,Ayotte,56  ,0021800298
2,1628953,Ashley,Moyer-Gleich,75  ,0021800298
0,1174,Ken,Mauer,41  ,0021600188
1,201638,Brent,Barnaky,36  ,0021600188
2,1627962,Jacyn,Goble,68  ,0021600188
0,1195,Derrick,Stafford,9   ,0021600879
1,202007,Nick,Buchert,3   ,0021600879
2,202049,Ben,Taylor,46  ,0021600879
0,1193,Michael,Smith,38  ,0021700386
1,201640,Kane,Fitzgerald,5   ,0021700386
2,202027,Tre,Maddox,73  ,0021700386
0,2005,Matt,Boland,18  ,0021700873
1,2882,Sean,Wright,4   ,0021700873
2,200834,Mark,Lindsay,29  ,0021700873
0,2001,Jason,Phillips,23  ,0021800074
1,201245,Marat,Kogut,32  ,0021800074
2,202056,CJ,Washington,12  ,0021800074
0,1199,Tom,Washington,49  ,0021800431
1,200833,Eric,Dalen,37  ,0021800431
2,202041,Kevin,Scott,28  ,0021800431
0,2530,Ed,Malloy,14  ,0021600205
1,1188,Leroy,Richardson,20  ,0021600205
2,204058,Gediminas,Petraitis,50  ,0021600205
0,1162,Scott,Foster,48  ,0021700974
1,200834,Mark,Lindsay,29  ,0021700974
2,202041,Kevin,Scott,28  ,0021700974
0,1151,Sean,Corbin,33  ,0021800335
1,203592,Dedric,Taylor,21  ,0021800335
2,1626301,Jason,Goldenberg,35  ,0021800335
0,2001,Jason,Phillips,23  ,0021600217
1,1151,Sean,Corbin,33  ,0021600217
2,200832,Curtis,Blair,74  ,0021600217
0,101284,John,Goble,30  ,0021601022
1,2714,David,Guthrie,16  ,0021601022
2,202000,Steve,Anderson,35  ,0021601022
0,1174,Ken,Mauer,41  ,0021700201
1,201246,Kevin,Cutler,34  ,0021700201
2,202058,James,Williams,60  ,0021700201
0,2003,Pat,Fraher,26  ,0021700579
1,201638,Brent,Barnaky,36  ,0021700579
2,202035,Brett,Nansel,44  ,0021700579
0,2003,Pat,Fraher,26  ,0021800645
1,101283,Brian,Forte,45  ,0021800645
2,1628172,Evan,Scott,78  ,0021800645
0,1155,JB,DeRosa,62  ,0021801137
1,2534,Zach,Zarba,15  ,0021801137
2,202041,Kevin,Scott,28  ,0021801137
0,1152,Dan,Crawford,43  ,0021600256
1,2002,Derrick,Collins,11  ,0021600256
2,202056,CJ,Washington,53  ,0021600256
0,1146,Tony,Brothers,25  ,0021600410
1,2004,Courtney,Kirkland,61  ,0021600410
2,202056,CJ,Washington,53  ,0021600410
0,1147,Mike,Callahan,24  ,0021700078
1,1179,Rodney,Mott,71  ,0021700078
2,1626300,Ray,Acosta,54  ,0021700078
0,1151,Sean,Corbin,33  ,0021700257
1,2715,Eric,Lewis,42  ,0021700257
2,203592,Dedric,Taylor,21  ,0021700257
0,1155,JB,DeRosa,62  ,0021800617
1,2530,Ed,Malloy,14  ,0021800617
2,202026,Karl,Lane,77  ,0021800617
0,2001,Jason,Phillips,23  ,0021801170
1,202049,Ben,Taylor,46  ,0021801170
2,1626300,Ray,Acosta,54  ,0021801170
0,1162,Scott,Foster,48  ,0021600294
1,1164,Ron,Garretson,10  ,0021600294
2,201246,Kevin,Cutler,34  ,0021600294
0,1147,Mike,Callahan,24  ,0021601037
1,201638,Brent,Barnaky,36  ,0021601037
2,202027,Tre,Maddox,73  ,0021601037
0,201245,Marat,Kogut,32  ,0021700019
1,201640,Kane,Fitzgerald,5   ,0021700019
2,203177,Lauren,Holtkamp,7   ,0021700019
0,1179,Rodney,Mott,71  ,0021700614
1,1201,Leon,Wood,40  ,0021700614
2,2714,David,Guthrie,16  ,0021700614
0,1162,Scott,Foster,48  ,0021800849
1,204059,Tyler,Ford,39  ,0021800849
2,1626300,Ray,Acosta,54  ,0021800849
0,200832,Curtis,Blair,74  ,0021801067
1,201640,Kane,Fitzgerald,5   ,0021801067
2,202007,Nick,Buchert,3   ,0021801067
0,1830,Marc,Davis,8   ,0021600311
1,2004,Courtney,Kirkland,61  ,0021600311
2,202053,Scott,Twardoski,52  ,0021600311
0,2529,Tony,Brown,6   ,0021700939
1,2530,Ed,Malloy,14  ,0021700939
2,203592,Dedric,Taylor,21  ,0021700939
0,101284,John,Goble,30  ,0021800512
1,201638,Brent,Barnaky,36  ,0021800512
2,203591,Mitchell,Ervin,27  ,0021800512
0,200832,Curtis,Blair,74  ,0021600322
1,201638,Brent,Barnaky,36  ,0021600322
2,201640,Kane,Fitzgerald,5   ,0021600322
0,1151,Sean,Corbin,33  ,0021700138
1,201637,Haywoode,Workman,66  ,0021700138
2,201640,Kane,Fitzgerald,5   ,0021700138
0,1198,Scott,Wall,31  ,0021701029
1,101284,John,Goble,30  ,0021701029
2,202056,CJ,Washington,12  ,0021701029
0,202049,Ben,Taylor,46  ,0021800632
1,202058,James,Williams,60  ,0021800632
2,1627541,Natalie,Sago,76  ,0021800632
0,1151,Sean,Corbin,33  ,0021600357
1,1662,Bill,Kennedy,55  ,0021600357
2,1627962,Jacyn,Goble,68  ,0021600357
0,1147,Mike,Callahan,24  ,0021700129
1,2003,Pat,Fraher,26  ,0021700129
2,202049,Ben,Taylor,46  ,0021700129
0,1148,James,Capers,19  ,0021800065
1,1164,Ron,Garretson,10  ,0021800065
2,1201,Leon,Wood,40  ,0021800065
0,2534,Zach,Zarba,15  ,0021600383
1,1188,Leroy,Richardson,20  ,0021600383
2,203592,Dedric,Taylor,21  ,0021600383
0,1662,Bill,Kennedy,55  ,0021700374
1,2715,Eric,Lewis,42  ,0021700374
2,1626302,Aaron,Smith,51  ,0021700374
0,1830,Marc,Davis,8   ,0021800545
1,2004,Courtney,Kirkland,61  ,0021800545
2,1627963,Phenizee,Ransom,70  ,0021800545
0,1147,Mike,Callahan,24  ,0021600424
1,202049,Ben,Taylor,46  ,0021600424
2,1627962,Jacyn,Goble,68  ,0021600424
0,2005,Matt,Boland,18  ,0021700436
1,2534,Zach,Zarba,15  ,0021700436
