origin,TEAM_ABBREVIATION_x,destination,TEAM_ABBREVIATION_y,distance_miles
Oklahoma City Thunder,OKC,Milwaukee,MIL,878.82
Orlando Magic,ORL,Milwaukee,MIL,1251.71
Philadelphia 76ers,PHI,Milwaukee,MIL,850.6
Phoenix Suns,PHX,Milwaukee,MIL,1829.3
Portland Trailblazers,POR,Milwaukee,MIL,2043.1
Sacramento Kings,SAC,Milwaukee,MIL,2089.17
San Antonio Spurs,SAS,Milwaukee,MIL,1273.47
Toronto Raptors,TOR,Milwaukee,MIL,488.25
Utah Jazz,UTA,Milwaukee,MIL,1440.06
Washington Wizards,WAS,Milwaukee,MIL,792.68
Atlanta Hawks,ATL,Minneapolis,MIN,1129.4
Boston Celtics,BOS,Minneapolis,MIN,1399.98
Brooklyn Nets,BKN,Minneapolis,MIN,1209
Charlotte Hornets,CHA,Minneapolis,MIN,1180.93
Chicago Bulls,CHI,Minneapolis,MIN,408.29
Cleveland Cavaliers,CLE,Minneapolis,MIN,760.43
Dallas Mavericks,DAL,Minneapolis,MIN,942.08
Denver Nuggets,DEN,Minneapolis,MIN,914.03
Detroit Pistons,DET,Minneapolis,MIN,697.18
Golden State Warriors,GSW,Minneapolis,MIN,1980.45
Houston Rockets,HOU,Minneapolis,MIN,1181.21
Indiana Pacers,IND,Minneapolis,MIN,599.19
Los Angeles Lakers,LAL,Minneapolis,MIN,1929.16
Los Angeles Clippers,LAC,Minneapolis,MIN,1929.16
Memphis Grizzlies,MEM,Minneapolis,MIN,830.78
Miami Heat,MIA,Minneapolis,MIN,1791.27
Milwaukee Bucks,MIL,Minneapolis,MIN,336.98
Minnesota Timberwolves,MIN,Minneapolis,MIN,0
New Orleans Pelicans,NOP,Minneapolis,MIN,1223.04
New York Knicks,NYK,Minneapolis,MIN,1208.36
Oklahoma City Thunder,OKC,Minneapolis,MIN,787.71
Orlando Magic,ORL,Minneapolis,MIN,1567.61
Philadelphia 76ers,PHI,Minneapolis,MIN,1175.94
Phoenix Suns,PHX,Minneapolis,MIN,1642.08
Portland Trailblazers,POR,Minneapolis,MIN,1728.39
Sacramento Kings,SAC,Minneapolis,MIN,1893.59
San Antonio Spurs,SAS,Minneapolis,MIN,1247.05
Toronto Raptors,TOR,Minneapolis,MIN,822.57
Utah Jazz,UTA,Minneapolis,MIN,1244.48
Washington Wizards,WAS,Minneapolis,MIN,1118.03
Atlanta Hawks,ATL,New Orleans,NOP,470.13
Boston Celtics,BOS,New Orleans,NOP,1524.67
Brooklyn Nets,BKN,New Orleans,NOP,1311.08
Charlotte Hornets,CHA,New Orleans,NOP,714.3
Chicago Bulls,CHI,New Orleans,NOP,926.65
Cleveland Cavaliers,CLE,New Orleans,NOP,1052.7
Dallas Mavericks,DAL,New Orleans,NOP,506.25
Denver Nuggets,DEN,New Orleans,NOP,1298.45
Detroit Pistons,DET,New Orleans,NOP,1075.16
Golden State Warriors,GSW,New Orleans,NOP,2258.13
Houston Rockets,HOU,New Orleans,NOP,346.79
Indiana Pacers,IND,New Orleans,NOP,819.36
Los Angeles Lakers,LAL,New Orleans,NOP,1895.66
Los Angeles Clippers,LAC,New Orleans,NOP,1895.66
Memphis Grizzlies,MEM,New Orleans,NOP,393.78
Miami Heat,MIA,New Orleans,NOP,862.45
Milwaukee Bucks,MIL,New Orleans,NOP,1016.2
Minnesota Timberwolves,MIN,New Orleans,NOP,1222.13
New Orleans Pelicans,NOP,New Orleans,NOP,0
New York Knicks,NYK,New Orleans,NOP,1306.79
Oklahoma City Thunder,OKC,New Orleans,NOP,708.01
Orlando Magic,ORL,New Orleans,NOP,638.79
Philadelphia 76ers,PHI,New Orleans,NOP,1223.54
Phoenix Suns,PHX,New Orleans,NOP,1521.16
Portland Trailblazers,POR,New Orleans,NOP,2511.46
Sacramento Kings,SAC,New Orleans,NOP,2276.23
San Antonio Spurs,SAS,New Orleans,NOP,537.1
Toronto Raptors,TOR,New Orleans,NOP,1313.78
Utah Jazz,UTA,New Orleans,NOP,1745.06
Washington Wizards,WAS,New Orleans,NOP,1085.4
Atlanta Hawks,ATL,New York (Manhattan),NYK,864.61
Boston Celtics,BOS,New York (Manhattan),NYK,213.78
Brooklyn Nets,BKN,New York (Manhattan),NYK,5.45
Charlotte Hornets,CHA,New York (Manhattan),NYK,628.16
Chicago Bulls,CHI,New York (Manhattan),NYK,792.7
Cleveland Cavaliers,CLE,New York (Manhattan),NYK,463.46
Dallas Mavericks,DAL,New York (Manhattan),NYK,1551.2
Denver Nuggets,DEN,New York (Manhattan),NYK,1778.49
Detroit Pistons,DET,New York (Manhattan),NYK,625.02
Golden State Warriors,GSW,New York (Manhattan),NYK,2907.92
Houston Rockets,HOU,New York (Manhattan),NYK,1629.86
Indiana Pacers,IND,New York (Manhattan),NYK,712
Los Angeles Lakers,LAL,New York (Manhattan),NYK,2793.63
Los Angeles Clippers,LAC,New York (Manhattan),NYK,2793.63
Memphis Grizzlies,MEM,New York (Manhattan),NYK,1098.87
Miami Heat,MIA,New York (Manhattan),NYK,1278.77
Milwaukee Bucks,MIL,New York (Manhattan),NYK,882.1
Minnesota Timberwolves,MIN,New York (Manhattan),NYK,1199.11
New Orleans Pelicans,NOP,New York (Manhattan),NYK,1307.87
New York Knicks,NYK,New York (Manhattan),NYK,0
Oklahoma City Thunder,OKC,New York (Manhattan),NYK,1452.78
Orlando Magic,ORL,New York (Manhattan),NYK,1075.16
Philadelphia 76ers,PHI,New York (Manhattan),NYK,95.76
Phoenix Suns,PHX,New York (Manhattan),NYK,2409.97
Portland Trailblazers,POR,New York (Manhattan),NYK,2899.53
Sacramento Kings,SAC,New York (Manhattan),NYK,2824.06
San Antonio Spurs,SAS,New York (Manhattan),NYK,1820.17
Toronto Raptors,TOR,New York (Manhattan),NYK,471.67
Utah Jazz,UTA,New York (Manhattan),NYK,2174.95
Washington Wizards,WAS,New York (Manhattan),NYK,228.65
Atlanta Hawks,ATL,Oklahoma City,OKC,848.94
Boston Celtics,BOS,Oklahoma City,OKC,1689.49
Brooklyn Nets,BKN,Oklahoma City,OKC,1467.56
Charlotte Hornets,CHA,Oklahoma City,OKC,1084.84
Chicago Bulls,CHI,Oklahoma City,OKC,796.77
Cleveland Cavaliers,CLE,Oklahoma City,OKC,1055.06
Dallas Mavericks,DAL,Oklahoma City,OKC,204.26
Denver Nuggets,DEN,Oklahoma City,OKC,677.57
Detroit Pistons,DET,Oklahoma City,OKC,1047.1
Golden State Warriors,GSW,Oklahoma City,OKC,1610.62
Houston Rockets,HOU,Oklahoma City,OKC,445.58
Indiana Pacers,IND,Oklahoma City,OKC,747.37
Los Angeles Lakers,LAL,Oklahoma City,OKC,1330.49
Los Angeles Clippers,LAC,Oklahoma City,OKC,1330.49
Memphis Grizzlies,MEM,Oklahoma City,OKC,467.91
Miami Heat,MIA,Oklahoma City,OKC,1509.2
Milwaukee Bucks,MIL,Oklahoma City,OKC,870.22
Minnesota Timberwolves,MIN,Oklahoma City,OKC,789.32
New Orleans Pelicans,NOP,Oklahoma City,OKC,707.25
New York Knicks,NYK,Oklahoma City,OKC,1451.06
Oklahoma City Thunder,OKC,Oklahoma City,OKC,0
Orlando Magic,ORL,Oklahoma City,OKC,1285.54
Philadelphia 76ers,PHI,Oklahoma City,OKC,1383.32
Phoenix Suns,PHX,Oklahoma City,OKC,958.64
Portland Trailblazers,POR,Oklahoma City,OKC,1912.21
Sacramento Kings,SAC,Oklahoma City,OKC,1621.98
San Antonio Spurs,SAS,Oklahoma City,OKC,463.12
Toronto Raptors,TOR,Oklahoma City,OKC,1284.51
Utah Jazz,UTA,Oklahoma City,OKC,1187.64
Washington Wizards,WAS,Oklahoma City,OKC,1342.69
Atlanta Hawks,ATL,Orlando,ORL,438.74
Boston Celtics,BOS,Orlando,ORL,1294.98
Brooklyn Nets,BKN,Orlando,ORL,1081.16
Charlotte Hornets,CHA,Orlando,ORL,524.78
Chicago Bulls,CHI,Orlando,ORL,1156.67
Cleveland Cavaliers,CLE,Orlando,ORL,1036.77
Dallas Mavericks,DAL,Orlando,ORL,1089.68
Denver Nuggets,DEN,Orlando,ORL,1837.89
Detroit Pistons,DET,Orlando,ORL,1168.79
Golden State Warriors,GSW,Orlando,ORL,2873.41
Houston Rockets,HOU,Orlando,ORL,962.06
Indiana Pacers,IND,Orlando,ORL,970.33
Los Angeles Lakers,LAL,Orlando,ORL,2510.01
Los Angeles Clippers,LAC,Orlando,ORL,2510.01
Memphis Grizzlies,MEM,Orlando,ORL,819.81
Miami Heat,MIA,Orlando,ORL,233.63
Milwaukee Bucks,MIL,Orlando,ORL,1249.73
Minnesota Timberwolves,MIN,Orlando,ORL,1564.97
New Orleans Pelicans,NOP,Orlando,ORL,640.18
New York Knicks,NYK,Orlando,ORL,1082.35
Oklahoma City Thunder,OKC,Orlando,ORL,1284.73
Orlando Magic,ORL,Orlando,ORL,0
Philadelphia 76ers,PHI,Orlando,ORL,993.62
Phoenix Suns,PHX,Orlando,ORL,2136.44
Portland Trailblazers,POR,Orlando,ORL,3033.63
Sacramento Kings,SAC,Orlando,ORL,2891.5
San Antonio Spurs,SAS,Orlando,ORL,1152.37
Toronto Raptors,TOR,Orlando,ORL,1280.09
Utah Jazz,UTA,Orlando,ORL,2309.06
Washington Wizards,WAS,Orlando,ORL,846.67
Atlanta Hawks,ATL,Philadelphia,PHI,775.82
Boston Celtics,BOS,Philadelphia,PHI,309.3
Brooklyn Nets,BKN,Philadelphia,PHI,98.12
Charlotte Hornets,CHA,Philadelphia,PHI,539.37
Chicago Bulls,CHI,Philadelphia,PHI,760.49
Cleveland Cavaliers,CLE,Philadelphia,PHI,431.24
Dallas Mavericks,DAL,Philadelphia,PHI,1506.04
Denver Nuggets,DEN,Philadelphia,PHI,1726.68
Detroit Pistons,DET,Philadelphia,PHI,592.81
Golden State Warriors,GSW,Philadelphia,PHI,2875.7
Houston Rockets,HOU,Philadelphia,PHI,1545.98
Indiana Pacers,IND,Philadelphia,PHI,643.6
Los Angeles Lakers,LAL,Philadelphia,PHI,2712.61
Los Angeles Clippers,LAC,Philadelphia,PHI,2712.61
Memphis Grizzlies,MEM,Philadelphia,PHI,1014.99
Miami Heat,MIA,Philadelphia,PHI,1189.98
Milwaukee Bucks,MIL,Philadelphia,PHI,849.89
Minnesota Timberwolves,MIN,Philadelphia,PHI,1172.13
New Orleans Pelicans,NOP,Philadelphia,PHI,1223.99
New York Knicks,NYK,Philadelphia,PHI,96.67
Oklahoma City Thunder,OKC,Philadelphia,PHI,1384.39
Orlando Magic,ORL,Philadelphia,PHI,986.37
Philadelphia 76ers,PHI,Philadelphia,PHI,0
Phoenix Suns,PHX,Philadelphia,PHI,2341.5
Portland Trailblazers,POR,Philadelphia,PHI,2867.31
Sacramento Kings,SAC,Philadelphia,PHI,2791.84
San Antonio Spurs,SAS,Philadelphia,PHI,1736.29
Toronto Raptors,TOR,Philadelphia,PHI,472.8
Utah Jazz,UTA,Philadelphia,PHI,2142.74
Washington Wizards,WAS,Philadelphia,PHI,139.83
Atlanta Hawks,ATL,Phoenix,PHX,1846
Boston Celtics,BOS,Phoenix,PHX,2651.26
Brooklyn Nets,BKN,Phoenix,PHX,2429.33
Charlotte Hornets,CHA,Phoenix,PHX,2090.87
Chicago Bulls,CHI,Phoenix,PHX,1754.12
Cleveland Cavaliers,CLE,Phoenix,PHX,2013.85
Dallas Mavericks,DAL,Phoenix,PHX,1064.18
Denver Nuggets,DEN,Phoenix,PHX,863.56
Detroit Pistons,DET,Phoenix,PHX,2006.03
Golden State Warriors,GSW,Phoenix,PHX,736.92
Houston Rockets,HOU,Phoenix,PHX,1175.3
Indiana Pacers,IND,Phoenix,PHX,1706.17
Los Angeles Lakers,LAL,Phoenix,PHX,373.52
Los Angeles Clippers,LAC,Phoenix,PHX,373.52
Memphis Grizzlies,MEM,Phoenix,PHX,1425.94
Miami Heat,MIA,Phoenix,PHX,2358.36
Milwaukee Bucks,MIL,Phoenix,PHX,1829.15
Minnesota Timberwolves,MIN,Phoenix,PHX,1645.74
New Orleans Pelicans,NOP,Phoenix,PHX,1519.52
New York Knicks,NYK,Phoenix,PHX,2410.02
Oklahoma City Thunder,OKC,Phoenix,PHX,959.81
Orlando Magic,ORL,Phoenix,PHX,2134.7
Philadelphia 76ers,PHI,Phoenix,PHX,2345.09
Phoenix Suns,PHX,Phoenix,PHX,0
Portland Trailblazers,POR,Phoenix,PHX,1334.76
Sacramento Kings,SAC,Phoenix,PHX,755.02
San Antonio Spurs,SAS,Phoenix,PHX,985.52
Toronto Raptors,TOR,Phoenix,PHX,2243.44
Utah Jazz,UTA,Phoenix,PHX,659.75
Washington Wizards,WAS,Phoenix,PHX,2302.2
Atlanta Hawks,ATL,Portland,POR,2593.19
Boston Celtics,BOS,Portland,POR,3086.27
Brooklyn Nets,BKN,Portland,POR,2895.3
Charlotte Hornets,CHA,Portland,POR,2754.16
Chicago Bulls,CHI,Portland,POR,2116.25
Cleveland Cavaliers,CLE,Portland,POR,2446.78
Dallas Mavericks,DAL,Portland,POR,2032.72
Denver Nuggets,DEN,Portland,POR,1240.44
Detroit Pistons,DET,Portland,POR,2383.48
Golden State Warriors,GSW,Portland,POR,640.75
Houston Rockets,HOU,Portland,POR,2274.04
Indiana Pacers,IND,Portland,POR,2262.52
Los Angeles Lakers,LAL,Portland,POR,965.74
Los Angeles Clippers,LAC,Portland,POR,965.74
Memphis Grizzlies,MEM,Portland,POR,2245.8
Miami Heat,MIA,Portland,POR,3255.05
Milwaukee Bucks,MIL,Portland,POR,2063.52
Minnesota Timberwolves,MIN,Portland,POR,1728.14
New Orleans Pelicans,NOP,Portland,POR,2506.49
New York Knicks,NYK,Portland,POR,2894.56
Oklahoma City Thunder,OKC,Portland,POR,1909.5
Orlando Magic,ORL,Portland,POR,3031.39
Philadelphia 76ers,PHI,Portland,POR,2862.24
Phoenix Suns,PHX,Portland,POR,1266.58
Portland Trailblazers,POR,Portland,POR,0
Sacramento Kings,SAC,Portland,POR,580.39
San Antonio Spurs,SAS,Portland,POR,2074.64
Toronto Raptors,TOR,Portland,POR,2620.89
Utah Jazz,UTA,Portland,POR,763.61
Washington Wizards,WAS,Portland,POR,2804.32
Atlanta Hawks,ATL,Sacramento,SAC,2468.83
Boston Celtics,BOS,Sacramento,SAC,3011.62
Brooklyn Nets,BKN,Sacramento,SAC,2820.64
Charlotte Hornets,CHA,Sacramento,SAC,2679.5
Chicago Bulls,CHI,Sacramento,SAC,2041.6
Cleveland Cavaliers,CLE,Sacramento,SAC,2372.12
Dallas Mavericks,DAL,Sacramento,SAC,1725.39
Denver Nuggets,DEN,Sacramento,SAC,1125.27
Detroit Pistons,DET,Sacramento,SAC,2308.82
Golden State Warriors,GSW,Sacramento,SAC,91.84
Houston Rockets,HOU,Sacramento,SAC,1930
Indiana Pacers,IND,Sacramento,SAC,2187.86
Los Angeles Lakers,LAL,Sacramento,SAC,391.58
Los Angeles Clippers,LAC,Sacramento,SAC,391.58
Memphis Grizzlies,MEM,Sacramento,SAC,2087.79
Miami Heat,MIA,Sacramento,SAC,3113.06
Milwaukee Bucks,MIL,Sacramento,SAC,2085.18
Minnesota Timberwolves,MIN,Sacramento,SAC,1893.74
New Orleans Pelicans,NOP,Sacramento,SAC,2228.31
New York Knicks,NYK,Sacramento,SAC,2819.91
Oklahoma City Thunder,OKC,Sacramento,SAC,1621.66
Orlando Magic,ORL,Sacramento,SAC,2889.4
Philadelphia 76ers,PHI,Sacramento,SAC,2787.59
Phoenix Suns,PHX,Sacramento,SAC,755.3
Portland Trailblazers,POR,Sacramento,SAC,580.02
Sacramento Kings,SAC,Sacramento,SAC,0
San Antonio Spurs,SAS,Sacramento,SAC,1740.22
Toronto Raptors,TOR,Sacramento,SAC,2546.23
Utah Jazz,UTA,Sacramento,SAC,652.12
Washington Wizards,WAS,Sacramento,SAC,2729.67
Atlanta Hawks,ATL,San Antonio,SAS,983.64
Boston Celtics,BOS,San Antonio,SAS,2037.81
Brooklyn Nets,BKN,San Antonio,SAS,1824.24
Charlotte Hornets,CHA,San Antonio,SAS,1226.39
Chicago Bulls,CHI,San Antonio,SAS,1239.12
Cleveland Cavaliers,CLE,San Antonio,SAS,1452.18
Dallas Mavericks,DAL,San Antonio,SAS,271.27
Denver Nuggets,DEN,San Antonio,SAS,936.22
Detroit Pistons,DET,San Antonio,SAS,1484.28
Golden State Warriors,GSW,San Antonio,SAS,1721.42
Houston Rockets,HOU,San Antonio,SAS,192.91
Indiana Pacers,IND,San Antonio,SAS,1176.95
Los Angeles Lakers,LAL,San Antonio,SAS,1358.02
Los Angeles Clippers,LAC,San Antonio,SAS,1358.02
Memphis Grizzlies,MEM,San Antonio,SAS,723.98
Miami Heat,MIA,San Antonio,SAS,1375.96
Milwaukee Bucks,MIL,San Antonio,SAS,1326.98
Minnesota Timberwolves,MIN,San Antonio,SAS,1248.81
New Orleans Pelicans,NOP,San Antonio,SAS,537.12
New York Knicks,NYK,San Antonio,SAS,1819.93
Oklahoma City Thunder,OKC,San Antonio,SAS,462.68
Orlando Magic,ORL,San Antonio,SAS,1152.3
Philadelphia 76ers,PHI,San Antonio,SAS,1736.68
Phoenix Suns,PHX,San Antonio,SAS,984.45
Portland Trailblazers,POR,San Antonio,SAS,2080.23
Sacramento Kings,SAC,San Antonio,SAS,1739.51
San Antonio Spurs,SAS,San Antonio,SAS,0
Toronto Raptors,TOR,San Antonio,SAS,1721.69
Utah Jazz,UTA,San Antonio,SAS,1306.75
Washington Wizards,WAS,San Antonio,SAS,1600.02
Atlanta Hawks,ATL,Toronto,TOR,949.94
Boston Celtics,BOS,Toronto,TOR,549.49
Brooklyn Nets,BKN,Toronto,TOR,473.07
Charlotte Hornets,CHA,Toronto,TOR,758.4
Chicago Bulls,CHI,Toronto,TOR,520.89
Cleveland Cavaliers,CLE,Toronto,TOR,291.34
Dallas Mavericks,DAL,Toronto,TOR,1414.93
Denver Nuggets,DEN,Toronto,TOR,1505.5
Detroit Pistons,DET,Toronto,TOR,234.71
Golden State Warriors,GSW,Toronto,TOR,2634.93
Houston Rockets,HOU,Toronto,TOR,1539.52
Indiana Pacers,IND,Toronto,TOR,515.09
Los Angeles Lakers,LAL,Toronto,TOR,2520.6
Los Angeles Clippers,LAC,Toronto,TOR,2520.6
Memphis Grizzlies,MEM,Toronto,TOR,971.59
Miami Heat,MIA,Toronto,TOR,1483.49
Milwaukee Bucks,MIL,Toronto,TOR,487.24
Minnesota Timberwolves,MIN,Toronto,TOR,823.13
New Orleans Pelicans,NOP,Toronto,TOR,1294.67
New York Knicks,NYK,Toronto,TOR,472.34
Oklahoma City Thunder,OKC,Toronto,TOR,1285.52
Orlando Magic,ORL,Toronto,TOR,1279.89
Philadelphia 76ers,PHI,Toronto,TOR,477.35
Phoenix Suns,PHX,Toronto,TOR,2242.78
Portland Trailblazers,POR,Toronto,TOR,2626.54
Sacramento Kings,SAC,Toronto,TOR,2551.07
San Antonio Spurs,SAS,Toronto,TOR,1684.06
Toronto Raptors,TOR,Toronto,TOR,0
Utah Jazz,UTA,Toronto,TOR,1901.96
Washington Wizards,WAS,Toronto,TOR,482.73
Atlanta Hawks,ATL,Salt Lake City,UTA,1872.01
Boston Celtics,BOS,Salt Lake City,UTA,2365.09
Brooklyn Nets,BKN,Salt Lake City,UTA,2174.12
Charlotte Hornets,CHA,Salt Lake City,UTA,2032.98
Chicago Bulls,CHI,Salt Lake City,UTA,1395.08
Cleveland Cavaliers,CLE,Salt Lake City,UTA,1725.6
Dallas Mavericks,DAL,Salt Lake City,UTA,1240.65
Denver Nuggets,DEN,Salt Lake City,UTA,519.27
Detroit Pistons,DET,Salt Lake City,UTA,1662.3
Golden State Warriors,GSW,Salt Lake City,UTA,740.19
Houston Rockets,HOU,Salt Lake City,UTA,1481.98
Indiana Pacers,IND,Salt Lake City,UTA,1541.34
Los Angeles Lakers,LAL,Salt Lake City,UTA,690.55
Los Angeles Clippers,LAC,Salt Lake City,UTA,690.55
Memphis Grizzlies,MEM,Salt Lake City,UTA,1524.62
Miami Heat,MIA,Salt Lake City,UTA,2533.87
Milwaukee Bucks,MIL,Salt Lake City,UTA,1437.61
Minnesota Timberwolves,MIN,Salt Lake City,UTA,1247.22
New Orleans Pelicans,NOP,Salt Lake City,UTA,1743.57
New York Knicks,NYK,Salt Lake City,UTA,2173.39
Oklahoma City Thunder,OKC,Salt Lake City,UTA,1188.33
Orlando Magic,ORL,Salt Lake City,UTA,2310.21
Philadelphia 76ers,PHI,Salt Lake City,UTA,2141.06
Phoenix Suns,PHX,Salt Lake City,UTA,718.81
Portland Trailblazers,POR,Salt Lake City,UTA,767.35
Sacramento Kings,SAC,Salt Lake City,UTA,651.72
San Antonio Spurs,SAS,Salt Lake City,UTA,1306.33
Toronto Raptors,TOR,Salt Lake City,UTA,1899.71
Utah Jazz,UTA,Salt Lake City,UTA,0
Washington Wizards,WAS,Salt Lake City,UTA,2083.15
Atlanta Hawks,ATL,Washington DC,WAS,636.35
Boston Celtics,BOS,Washington DC,WAS,439.8
Brooklyn Nets,BKN,Washington DC,WAS,225.99
Charlotte Hornets,CHA,Washington DC,WAS,399.9
Chicago Bulls,CHI,Washington DC,WAS,704.15
Cleveland Cavaliers,CLE,Washington DC,WAS,374.96
Dallas Mavericks,DAL,Washington DC,WAS,1329.51
Denver Nuggets,DEN,Washington DC,WAS,1661.87
Detroit Pistons,DET,Washington DC,WAS,536.53
Golden State Warriors,GSW,Washington DC,WAS,2819.42
Houston Rockets,HOU,Washington DC,WAS,1408.17
Indiana Pacers,IND,Washington DC,WAS,578.52
Los Angeles Lakers,LAL,Washington DC,WAS,2670.41
Los Angeles Clippers,LAC,Washington DC,WAS,2670.41
Memphis Grizzlies,MEM,Washington DC,WAS,877.18
Miami Heat,MIA,Washington DC,WAS,1050.51
Milwaukee Bucks,MIL,Washington DC,WAS,793.6
Minnesota Timberwolves,MIN,Washington DC,WAS,1110.61
New Orleans Pelicans,NOP,Washington DC,WAS,1086.18
New York Knicks,NYK,Washington DC,WAS,227.17
Oklahoma City Thunder,OKC,Washington DC,WAS,1342.47
Orlando Magic,ORL,Washington DC,WAS,846.9
Philadelphia 76ers,PHI,Washington DC,WAS,138.44
Phoenix Suns,PHX,Washington DC,WAS,2299.73
Portland Trailblazers,POR,Washington DC,WAS,2811.03
Sacramento Kings,SAC,Washington DC,WAS,2735.56
San Antonio Spurs,SAS,Washington DC,WAS,1598.48
Toronto Raptors,TOR,Washington DC,WAS,483.89
Utah Jazz,UTA,Washington DC,WAS,2086.45
Washington Wizards,WAS,Washington DC,WAS,0
